species,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Secondary1,Hand-Wing.Index,Tail.Length,Mass,Mass.Source,Inference,Habitat,Habitat.Density,Migration,Trophic.Level,Trophic.Niche,Primary.Lifestyle
passer montanus,13.2,8.2,5.5,6.5,16.4,67.9,16.7,51.2,24.6,51.0,21.39,0,0,6,2,1.0,2,1,3
phylloscopus bonelli,11.5,6.7,2.6,2.3,18.2,63.5,14.7,48.9,23.1,49.8,8.69,0,0,0,2,3.0,0,3,2
phylloscopus collybita,11.6,6.0,2.3,2.2,19.7,58.8,10.8,47.7,18.4,48.5,8.3,0,0,0,1,3.0,0,3,2
phylloscopus sibilatrix,13.2,6.7,2.8,2.8,18.0,75.8,23.3,52.3,30.9,50.7,9.2,0,0,0,1,3.0,0,3,2
phylloscopus trochilus,12.8,6.6,2.6,2.6,19.3,65.9,17.1,48.8,25.9,52.3,8.7,0,0,0,1,3.0,0,3,2
prunella modularis,14.0,7.8,3.7,3.6,20.4,69.1,14.7,54.5,21.2,59.6,20.24,0,0,0,2,1.0,2,3,3
regulus ignicapilla,10.9,6.0,2.0,2.1,16.5,52.3,11.5,40.7,22.0,39.4,5.6,0,0,0,1,3.0,0,3,2
regulus regulus,10.6,5.7,2.2,2.1,15.0,52.9,11.6,41.2,22.0,39.3,5.54,0,0,0,1,3.0,0,3,2
sitta europaea,20.9,13.6,4.8,4.6,20.2,85.4,20.3,65.0,23.8,46.8,20.37,0,0,0,1,1.0,0,3,2
sturnus vulgaris,30.2,18.5,6.6,6.5,29.0,128.3,49.2,79.1,38.4,65.8,77.14,0,0,2,3,2.0,2,4,2
sylvia atricapilla,15.2,7.2,3.2,3.4,20.8,75.9,20.5,55.4,27.0,62.2,16.7,0,0,6,1,3.0,2,4,2
sylvia borin,15.1,7.2,3.5,3.6,20.1,78.7,23.6,55.2,30.0,57.9,18.2,0,0,6,1,3.0,2,4,2
sylvia communis,13.6,7.0,2.8,3.3,21.3,72.6,17.6,55.1,24.2,63.3,15.1,0,0,4,3,3.0,2,3,2
sylvia curruca,12.4,6.3,2.8,3.1,19.1,65.1,14.4,50.9,22.0,56.9,11.44,0,0,4,3,3.0,2,3,2
troglodytes troglodytes,13.8,8.1,2.5,2.7,17.6,48.5,7.6,40.7,15.7,30.5,9.74,0,0,0,1,3.0,0,3,2
turdus iliacus,22.7,12.2,4.4,5.5,28.0,116.3,37.7,79.0,32.3,78.3,61.2,0,0,0,1,3.0,2,3,2
turdus merula,28.5,15.5,5.3,7.5,33.6,128.4,29.8,98.6,23.1,106.3,102.73,0,0,0,2,1.0,2,4,1
turdus philomelos,23.1,11.9,5.0,5.7,31.8,116.0,35.7,80.5,30.7,81.7,67.74,0,0,0,1,3.0,2,3,1
turdus pilaris,25.4,12.8,5.8,6.5,33.4,144.4,48.0,96.1,33.3,105.9,106.0,0,0,0,1,3.0,0,3,1
turdus viscivorus,26.4,14.5,5.7,6.9,32.7,153.7,53.9,99.6,35.1,111.8,117.37,0,0,0,2,1.0,2,4,2
dendrocopos major,27.9,21.8,9.3,8.7,23.9,136.2,40.8,98.5,29.3,88.0,74.94,0,0,6,1,1.0,2,4,2
dryobates minor,16.5,12.6,4.5,4.7,14.3,90.2,24.8,65.7,27.4,60.1,19.8,0,0,0,1,1.0,0,3,2
dryocopus martius,65.6,46.8,15.4,13.2,35.6,237.8,63.0,175.2,26.4,175.8,321.0,0,0,0,1,1.0,0,3,2
jynx torquilla,17.3,9.1,3.7,3.9,19.6,87.4,23.6,63.6,27.1,68.2,34.96,0,0,6,1,3.0,0,3,3
leiopicus medius,25.0,16.4,5.7,6.3,19.5,123.6,34.9,89.3,28.1,83.9,59.0,0,0,6,1,1.0,0,3,2
picus canus,38.3,24.9,7.9,7.1,24.8,146.6,37.9,109.1,25.8,106.7,137.0,0,0,0,1,1.0,0,3,2
picus viridis,45.0,35.1,11.5,9.8,29.0,165.4,41.0,125.0,24.7,103.0,176.0,0,0,0,2,1.0,0,3,3
strix aluco,30.4,16.2,8.2,15.2,46.4,264.8,77.7,187.1,29.3,171.1,472.46,0,0,0,1,1.0,0,5,2
corvus cornix,55.0,35.9,15.1,18.5,59.4,323.9,119.6,204.6,36.9,179.6,570.0,0,0,2,3,1.0,0,4,3
