species,LengthU_MEAN,WingU_MEAN,WingM_MEAN,WingF_MEAN,TailU_MEAN,TailM_MEAN,TailF_MEAN,BillU_MEAN,BillM_MEAN,BillF_MEAN,TarsusU_MEAN,TarsusM_MEAN,TarsusF_MEAN,WeightU_MEAN,WeightM_MEAN,WeightF_MEAN,Sexual dimorphism,Clutch_MIN,Clutch_MAX,Clutch_MEAN,Broods per year,EggL_MEAN,EggW_MEAN,Egg_MASS,Young,Association during nesting,Nest type,Nest building,Mating system,Incubation period,Incubation sex,Hatching,Fledging period,Age of independence,Feeding independence,Age of first breeding,Life span,Association outside the breeding season,Territoriality,Sedentary,Facultative migrant,Short distance migrant,Long distance migrant,Deciduous forest,Coniferous forest,Woodland,Shrub,Savanna,Tundra,Grassland,Mountain meadows,Reed,Swamps,Desert,Freshwater,Marine,Rocks,Human settlements,Folivore_Y,Frugivore_Y,Granivore_Y,Arthropods_Y,Other invertebrates_Y,Fish_Y,Other vertebrates_Y,Carrion_Y,Omnivore_Y,Folivore_B,Frugivore_B,Granivore_B,Arthropods_B,Other invertebrates_B,Fish_B,Other vertebrates_B,Carrion_B,Omnivore_B
emberiza calandra,18.0,97.1,101.4,92.8,66.25,69.7,62.8,16.05,16.5,15.6,25.0,25.3,24.7,47.15,54.0,40.3,0.0,1.0,7.0,5.0,1.5,24.1,17.6,3.91,0,3,3,2,1,13.0,2,3,12.0,25.0,25.0,1.0,11.0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
emberiza citrinella,16.25,87.05,89.1,85.0,68.85,70.6,67.1,14.0,14.2,13.8,19.4,19.5,19.3,26.75,26.7,26.8,1.0,2.0,6.0,4.0,2.0,21.4,16.4,2.93,0,3,3,2,0,13.0,2,3,12.0,23.0,23.0,1.0,13.0,0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
carduelis carduelis,12.0,76.95,78.4,75.5,46.5,47.2,45.8,15.5,15.9,15.1,14.45,14.6,14.3,15.45,15.4,15.5,0.0,3.0,7.0,5.0,2.0,17.0,12.8,1.46,0,5,5,2,0,12.0,2,1,15.0,25.0,24.5,1.0,14.0,0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
coccothraustes coccothraustes,18.0,102.5,103.6,101.4,56.35,57.2,55.5,24.85,25.3,24.4,21.15,21.4,20.9,57.9,58.8,57.0,1.0,2.0,7.0,4.5,1.0,24.1,17.5,3.89,0,4,5,2,0,12.0,2,1,13.0,30.0,30.0,1.0,13.0,0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
fringilla coelebs,14.5,86.75,89.5,84.0,62.15,64.5,59.8,15.0,15.0,15.0,17.8,18.0,17.6,22.15,23.5,20.8,1.0,3.0,6.0,4.5,1.0,19.6,14.7,2.2,0,3,5,2,0,13.0,2,3,14.0,35.0,35.0,1.0,16.0,0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
fringilla montifringilla,14.0,90.25,93.2,87.3,64.15,66.3,62.0,15.5,15.6,15.4,18.7,18.8,18.6,22.9,22.6,23.2,1.0,3.0,8.0,6.0,1.0,19.4,14.5,2.14,0,6,5,2,0,12.0,2,3,14.0,35.0,35.0,1.0,15.0,0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
chloris chloris,15.0,87.05,88.3,85.8,56.4,57.2,55.6,16.65,16.7,16.6,17.6,17.7,17.5,26.25,25.8,26.7,1.0,2.0,7.0,5.0,2.0,20.1,14.6,2.2,0,3,5,2,1,13.0,2,3,14.0,28.0,28.0,1.0,14.0,0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
linaria cannabina,13.5,77.85,79.0,76.7,51.35,51.6,51.1,12.8,12.9,12.7,15.75,15.9,15.6,19.25,19.6,18.9,1.0,3.0,7.0,5.0,2.5,18.0,13.3,1.66,0,5,5,2,0,12.0,2,1,14.0,28.0,28.0,1.0,9.0,0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
loxia curvirostra,16.5,97.25,98.3,96.2,57.8,58.4,57.2,22.6,22.9,22.3,18.0,18.0,18.0,41.7,41.2,42.2,1.0,2.0,5.0,4.0,2.0,21.9,15.9,2.95,0,3,5,2,0,15.0,2,1,23.0,58.0,58.0,1.0,14.0,0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
pyrrhula pyrrhula,16.0,83.5,84.4,82.6,64.55,65.1,64.0,13.9,13.9,13.9,16.95,17.0,16.9,31.0,31.0,31.0,1.0,3.0,7.0,4.5,2.0,19.9,14.6,2.22,0,3,5,2,0,13.0,2,1,15.0,33.0,33.0,1.0,13.0,7,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
