species,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Secondary1,Hand-Wing.Index,Tail.Length,Mass,Mass.Source,Inference,Habitat,Habitat.Density,Migration,Trophic.Level,Trophic.Niche,Primary.Lifestyle,LengthU_MEAN,WingU_MEAN,WingM_MEAN,WingF_MEAN,TailU_MEAN,TailM_MEAN,TailF_MEAN,BillU_MEAN,BillM_MEAN,BillF_MEAN,TarsusU_MEAN,TarsusM_MEAN,TarsusF_MEAN,WeightU_MEAN,WeightM_MEAN,WeightF_MEAN,Sexual dimorphism,Clutch_MIN,Clutch_MAX,Clutch_MEAN,Broods per year,EggL_MEAN,EggW_MEAN,Egg_MASS,Young,Association during nesting,Nest type,Nest building,Mating system,Incubation period,Incubation sex,Hatching,Fledging period,Age of independence,Feeding independence,Age of first breeding,Life span,Association outside the breeding season,Territoriality,Sedentary,Facultative migrant,Short distance migrant,Long distance migrant,Deciduous forest,Coniferous forest,Woodland,Shrub,Savanna,Tundra,Grassland,Mountain meadows,Reed,Swamps,Desert,Freshwater,Marine,Rocks,Human settlements,Folivore_Y,Frugivore_Y,Granivore_Y,Arthropods_Y,Other invertebrates_Y,Fish_Y,Other vertebrates_Y,Carrion_Y,Omnivore_Y,Folivore_B,Frugivore_B,Granivore_B,Arthropods_B,Other invertebrates_B,Fish_B,Other vertebrates_B,Carrion_B,Omnivore_B
accipiter gentilis,33.7,19.6,11.6,18.0,67.3,337.6,122.6,215.0,36.3,241.1,866.04,0,0,0,1,2.0,0,5,1,55.0,332.5,312.0,353.0,239.5,223.0,256.0,23.5,22.0,25.0,79.2,74.4,84.0,931.5,717.0,1146.0,1.0,1.0,6.0,3.5,1.0,59.0,45.0,52.0,2,3,5,1,0,37.0,2,1,39.0,70.0,70.0,3.0,22.0,4,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
buteo buteo,35.9,22.1,12.6,16.6,75.8,382.9,147.2,236.9,38.3,214.4,759.1,0,0,1,3,2.0,0,5,2,54.0,392.5,387.0,398.0,211.5,208.0,215.0,22.3,21.6,23.0,75.75,75.0,76.5,806.5,732.0,881.0,0.0,2.0,4.0,3.0,1.0,55.0,44.0,53.0,2,3,5,1,0,33.0,1,1,53.0,100.0,100.0,3.0,29.0,4,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
milvus migrans,40.0,22.4,13.0,17.4,51.4,457.4,219.9,237.5,48.1,269.5,734.1,0,0,6,3,3.0,2,4,0,57.5,455.5,447.0,464.0,262.0,256.0,268.0,26.05,25.1,27.0,55.55,55.2,55.9,828.5,807.0,850.0,0.0,1.0,5.0,2.5,1.0,54.0,43.0,56.0,2,3,5,3,0,32.0,2,1,42.0,87.0,87.0,3.0,24.0,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
milvus milvus,40.2,26.6,13.2,18.7,52.9,481.5,241.6,241.6,49.9,317.3,1071.77,0,0,4,2,2.0,2,4,1,63.0,496.5,490.0,503.0,335.0,327.0,343.0,27.55,27.4,27.7,53.0,53.2,52.8,1015.5,912.0,1119.0,0.0,1.0,5.0,2.0,1.0,57.0,45.0,63.0,2,3,5,1,0,32.0,2,1,50.0,71.0,71.0,2.0,26.0,4,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
pernis apivorus,34.8,19.1,11.7,13.7,43.9,407.4,154.2,253.0,37.9,253.2,754.37,0,0,0,1,3.0,0,3,2,56.0,409.5,404.0,415.0,255.0,251.0,259.0,20.9,20.5,21.3,52.75,51.9,53.6,899.0,836.0,962.0,0.0,1.0,3.0,2.0,1.0,52.0,41.0,49.0,2,3,5,2,0,33.0,1,1,42.0,88.0,88.0,2.0,29.0,6,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
anser anser,61.2,31.8,22.5,21.6,76.2,435.7,204.7,229.4,47.2,136.1,3302.41,0,0,5,3,3.0,1,2,3,82.5,453.5,465.0,442.0,134.0,139.0,129.0,64.05,66.6,61.5,81.75,84.7,78.8,3347.0,3578.0,3116.0,0.0,3.0,12.0,5.0,1.0,85.5,58.0,156.0,1,4,2,2,0,28.0,2,3,58.0,0.0,0.0,3.0,23.0,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vanellus vanellus,28.1,14.9,4.6,5.5,48.3,222.5,89.1,132.9,40.2,103.2,218.37,0,0,5,3,2.0,0,4,3,107.5,570.0,580.0,560.0,227.0,227.0,227.0,162.5,170.0,155.0,220.0,220.0,220.0,3245.5,3341.0,3150.0,0.0,1.0,7.0,4.0,1.0,73.0,52.0,111.0,2,4,5,1,0,34.0,1,1,61.0,75.0,75.0,4.0,39.0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
gallinago gallinago,69.7,56.9,4.6,6.0,30.0,127.9,56.6,71.3,44.3,54.0,112.94,0,0,5,3,3.0,0,0,3,33.0,219.0,222.0,216.0,116.0,118.0,114.0,19.35,19.6,19.1,29.4,29.6,29.2,292.0,304.0,280.0,0.0,1.0,2.0,2.0,3.0,38.0,29.0,17.0,2,5,4,1,0,17.0,1,1,29.0,38.0,38.0,1.0,13.0,0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
scolopax rusticola,76.7,60.9,6.5,10.0,34.2,192.4,75.1,115.6,39.4,84.8,308.31,0,0,0,3,3.0,0,4,3,41.0,251.0,252.0,250.0,162.5,165.0,160.0,21.25,21.4,21.1,32.75,32.8,32.7,496.5,497.0,496.0,0.0,1.0,3.0,1.5,2.0,41.0,29.0,19.0,2,3,5,1,0,17.0,1,3,29.0,36.0,36.0,1.0,18.0,0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ciconia ciconia,189.1,153.4,23.5,33.1,217.2,565.6,260.2,306.8,45.9,249.8,3445.8,0,0,1,3,3.0,0,4,3,27.0,175.5,179.0,172.0,114.5,116.0,113.0,16.4,16.8,16.0,23.25,23.6,22.9,144.0,144.0,144.0,0.0,1.0,2.0,1.5,2.5,29.0,22.0,8.0,2,3,5,1,0,14.0,1,3,22.0,28.0,28.0,1.0,13.0,3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
columba oenas,23.2,11.8,6.8,7.8,26.4,214.8,91.6,124.2,42.5,119.4,290.79,0,0,6,3,1.0,1,4,3,33.0,221.5,226.0,217.0,174.5,178.0,171.0,27.5,28.0,27.0,22.5,22.8,22.2,111.0,116.0,106.0,0.0,1.0,25.0,9.2,0.0,22.0,17.0,3.4,0,0,0,0,5,12.0,0,0,19.0,31.0,31.0,2.0,13.0,4,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
columba palumbus,27.8,13.1,8.0,7.8,31.5,246.4,101.4,145.0,41.2,153.2,490.0,0,0,6,2,1.0,1,4,3,33.5,251.0,246.0,256.0,167.0,163.0,171.0,14.5,14.0,15.0,40.0,40.0,40.0,234.0,199.0,269.0,1.0,1.0,9.0,4.5,1.0,39.0,31.0,20.0,2,3,4,4,0,28.0,2,1,30.0,58.0,58.0,1.0,20.0,4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
streptopelia turtur,22.4,8.1,4.7,4.9,22.3,170.7,75.1,97.5,43.5,109.7,132.0,0,0,6,2,3.0,1,1,3,17.0,112.0,111.0,113.0,37.75,36.5,39.0,8.95,8.9,9.0,26.3,26.0,26.6,104.6,93.5,115.7,1.0,7.0,18.0,10.5,1.0,30.0,23.0,8.0,1,3,2,2,3,19.0,2,3,19.0,60.0,60.0,1.0,15.0,5,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
cuculus canorus,26.0,15.4,7.6,7.6,21.4,192.0,84.6,105.9,43.9,158.1,111.36,0,0,0,2,3.0,0,3,2,71.0,235.0,247.0,223.0,383.0,466.0,300.0,40.7,40.7,40.7,71.7,71.7,71.7,1134.0,1317.0,951.0,1.0,2.0,18.0,11.5,1.0,45.0,36.0,33.0,1,3,2,2,1,26.0,2,3,11.0,75.0,75.0,1.0,8.0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
falco tinnunculus,20.8,14.1,10.6,11.5,39.1,241.0,123.2,118.4,51.0,154.5,183.21,0,0,4,3,3.0,0,5,0,115.0,575.0,593.0,557.0,205.0,210.0,200.0,105.5,109.0,102.0,248.0,258.0,238.0,6055.0,6055.0,6055.0,0.0,1.0,3.0,2.0,1.0,94.0,62.0,183.0,1,3,2,1,0,30.0,1,1,68.0,0.0,0.0,4.0,20.0,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
coturnix coturnix,15.6,7.7,5.5,5.2,24.5,106.2,43.2,62.4,41.0,38.3,96.28,0,0,2,3,3.0,1,1,3,29.5,226.5,229.0,224.0,103.5,106.0,101.0,24.0,24.1,23.9,47.2,47.4,47.0,218.5,211.0,226.0,0.0,2.0,5.0,4.0,1.0,47.0,33.0,26.0,1,6,2,1,1,28.0,1,3,38.0,40.0,40.0,2.0,25.0,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
phasianus colchicus,35.4,22.0,12.9,11.4,63.3,237.7,61.3,175.8,25.8,449.8,1120.31,0,0,2,2,1.0,1,4,3,26.0,134.0,134.0,134.0,58.0,58.0,58.0,67.55,66.6,68.5,32.6,32.4,32.8,120.0,120.0,120.0,0.0,2.0,5.0,4.0,1.0,39.0,29.0,17.0,1,3,3,2,4,19.0,2,3,20.0,20.0,20.0,2.0,16.0,0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
grus grus,108.1,58.1,10.7,16.8,234.4,540.6,225.5,300.2,43.0,193.4,5499.99,0,0,5,3,3.0,1,4,3,34.0,197.0,198.0,196.0,83.5,85.0,82.0,72.6,71.5,73.7,36.15,35.7,36.6,312.0,301.0,323.0,0.0,2.0,5.0,4.0,1.0,44.0,34.0,24.5,1,3,2,2,3,22.0,2,3,18.0,39.0,39.0,2.0,16.0,4,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
acrocephalus palustris,16.1,8.2,3.3,3.3,21.3,68.6,19.2,49.6,27.9,56.5,11.5,0,0,4,3,3.0,0,3,2,13.0,68.85,69.6,68.1,51.75,51.8,51.7,15.95,16.0,15.9,22.7,23.0,22.4,12.0,12.6,11.4,0.0,3.0,6.0,4.0,1.0,18.9,13.8,1.85,0,3,5,2,1,13.0,1,3,11.0,30.0,30.0,1.0,9.0,4,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
acrocephalus scirpaceus,18.2,8.7,3.2,2.9,21.3,65.3,16.0,49.5,24.3,51.1,12.3,0,0,5,3,3.0,0,3,2,13.0,66.4,66.8,66.0,51.1,51.3,50.9,17.05,17.2,16.9,22.95,23.1,22.8,11.8,11.8,11.8,0.0,2.0,7.0,4.0,1.0,18.4,13.6,1.75,0,3,5,2,0,11.0,1,3,11.0,23.0,23.0,1.0,14.0,4,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
hippolais icterina,17.5,9.1,3.8,3.4,20.6,77.9,24.0,53.8,30.8,54.6,13.2,0,0,6,1,3.0,0,3,2,13.5,78.45,78.9,78.0,51.7,51.8,51.6,16.55,16.6,16.5,20.85,21.1,20.6,13.3,13.4,13.2,0.0,2.0,7.0,4.5,1.0,18.4,13.6,1.73,0,3,5,2,0,14.0,2,3,14.0,24.0,24.0,1.0,11.0,4,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
aegithalos caudatus,7.6,4.2,2.5,3.3,15.9,63.1,14.0,49.5,22.0,87.8,8.6,0,0,0,2,1.0,0,3,2,14.0,60.0,60.6,59.4,79.75,80.4,79.1,7.475,7.55,7.4,16.6,16.7,16.5,8.5,8.5,8.5,0.0,6.0,15.0,10.0,1.0,14.0,10.9,0.9,0,6,1,1,0,16.0,2,3,16.0,0.0,30.0,1.0,11.0,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
alauda arvensis,14.6,8.8,4.4,4.7,23.6,106.7,36.0,70.8,33.6,67.6,37.31,0,0,1,3,2.0,2,4,3,18.5,109.75,114.5,105.0,63.85,66.2,61.5,15.2,15.6,14.8,24.45,24.9,24.0,38.5,42.0,35.0,0.0,3.0,7.0,4.0,3.0,23.4,16.8,3.35,0,3,2,2,0,11.0,2,3,19.0,30.0,30.0,1.0,10.0,1,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
lullula arborea,14.4,8.2,3.4,3.8,21.4,94.2,26.1,68.0,27.7,52.7,26.9,0,0,6,3,2.0,2,4,3,15.0,94.35,96.4,92.3,49.2,51.0,47.4,14.6,14.6,14.6,21.6,21.7,21.5,26.5,26.0,27.0,0.0,2.0,6.0,4.0,2.0,21.2,15.9,3.4,0,3,3,2,0,14.0,2,3,12.0,0.0,0.0,1.0,5.0,0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
certhia brachydactyla,18.7,11.1,2.0,2.5,14.9,62.1,11.0,51.2,17.7,57.1,8.2,0,0,0,1,1.0,0,3,2,12.5,62.4,63.3,61.5,59.55,59.0,60.1,17.65,18.5,16.8,15.5,15.7,15.3,9.05,9.3,8.8,0.0,4.0,7.0,6.5,2.0,16.0,12.3,1.15,0,3,4,1,0,14.0,2,3,17.0,29.0,29.0,1.0,6.0,4,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
certhia familiaris,18.1,12.2,2.0,2.6,14.6,64.5,12.4,52.2,19.2,60.3,9.0,0,0,0,1,1.0,2,3,2,12.5,63.45,64.7,62.2,59.85,60.7,59.0,16.55,17.3,15.8,15.3,15.3,15.3,9.1,9.1,9.1,0.0,3.0,9.0,5.5,1.5,15.9,12.05,1.14,0,3,4,1,0,15.0,2,3,15.0,29.0,29.0,1.0,8.0,4,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
corvus corax,77.0,49.2,21.9,27.9,67.1,419.7,167.2,252.7,39.8,228.7,927.97,0,0,0,3,2.0,2,4,3,64.0,421.4,430.4,412.4,228.55,230.0,227.1,76.3,78.1,74.5,69.65,70.7,68.6,1217.5,1319.0,1116.0,0.0,2.0,7.0,5.0,1.0,49.7,33.9,29.6,0,3,5,1,0,21.0,2,1,45.0,69.0,69.0,3.0,23.0,7,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
corvus corone,55.0,35.9,15.1,18.5,59.4,323.9,119.6,204.6,36.9,179.6,570.0,0,0,2,3,1.0,0,4,3,46.0,323.9,330.4,317.4,184.15,188.4,179.9,55.6,58.05,53.15,59.725,62.0,57.45,526.85,556.0,497.7,0.0,2.0,7.0,4.5,1.0,42.5,29.5,19.1,0,5,5,1,0,19.0,2,1,32.0,64.0,62.0,2.0,19.0,7,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
corvus monedula,35.2,21.4,11.2,13.3,43.3,231.1,90.5,141.3,39.1,122.4,246.0,0,0,2,3,2.0,2,4,3,33.5,234.95,239.2,230.7,127.2,130.1,124.3,35.4,36.3,34.5,45.2,46.2,44.2,236.0,242.7,229.3,0.0,2.0,8.0,5.0,1.0,35.0,25.0,11.3,0,1,4,1,0,18.0,2,2,33.0,68.0,64.5,2.0,20.0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
garrulus glandarius,33.0,19.9,9.0,11.6,39.1,181.1,35.4,147.3,19.4,150.2,159.46,0,0,0,1,2.0,2,4,2,34.5,182.1,184.4,179.8,145.35,148.0,142.7,33.4,33.8,33.0,43.1,43.5,42.7,164.4,167.4,161.4,0.0,3.0,10.0,6.0,1.0,31.8,23.2,8.74,0,3,5,1,0,17.0,2,1,26.0,53.0,51.0,2.0,17.0,2,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
pica pica,40.8,26.1,12.4,13.7,49.1,194.5,44.6,149.9,22.9,237.4,217.48,0,0,2,3,1.0,2,4,3,45.0,194.65,200.4,188.9,248.95,257.4,240.5,39.1,40.4,37.8,50.45,51.7,49.2,228.0,236.0,220.0,0.0,3.0,10.0,6.0,1.0,33.7,24.1,10.1,0,3,1,1,4,22.0,2,1,27.0,75.0,75.0,2.0,22.0,5,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
emberiza calandra,16.2,9.6,6.0,8.2,24.4,97.2,25.7,71.3,26.5,70.5,48.5,0,0,1,3,2.0,1,4,3,18.0,97.1,101.4,92.8,66.25,69.7,62.8,16.05,16.5,15.6,25.0,25.3,24.7,47.15,54.0,40.3,0.0,1.0,7.0,5.0,1.5,24.1,17.6,3.91,0,3,3,2,1,13.0,2,3,12.0,25.0,25.0,1.0,11.0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
emberiza citrinella,13.4,8.0,4.7,5.9,19.1,88.2,22.6,65.5,25.7,72.8,29.7,0,0,4,3,2.0,1,1,3,16.25,87.05,89.1,85.0,68.85,70.6,67.1,14.0,14.2,13.8,19.4,19.5,19.3,26.75,26.7,26.8,1.0,2.0,6.0,4.0,2.0,21.4,16.4,2.93,0,3,3,2,0,13.0,2,3,12.0,23.0,23.0,1.0,13.0,0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
carduelis carduelis,15.4,11.2,5.5,7.2,14.7,77.4,25.8,51.6,33.4,48.6,16.0,0,0,6,2,1.0,1,1,2,12.0,76.95,78.4,75.5,46.5,47.2,45.8,15.5,15.9,15.1,14.45,14.6,14.3,15.45,15.4,15.5,0.0,3.0,7.0,5.0,2.0,17.0,12.8,1.46,0,5,5,2,0,12.0,2,1,15.0,25.0,24.5,1.0,14.0,0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
chloris chloris,14.4,11.0,7.6,8.8,17.3,85.3,27.8,57.4,32.5,55.7,26.0,0,0,6,2,1.0,1,1,1,18.0,102.5,103.6,101.4,56.35,57.2,55.5,24.85,25.3,24.4,21.15,21.4,20.9,57.9,58.8,57.0,1.0,2.0,7.0,4.5,1.0,24.1,17.5,3.89,0,4,5,2,0,12.0,2,1,13.0,30.0,30.0,1.0,13.0,0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
coccothraustes coccothraustes,23.0,16.6,12.0,15.0,21.0,102.0,33.6,68.6,32.9,57.2,56.63,0,0,0,1,2.0,1,4,2,14.5,86.75,89.5,84.0,62.15,64.5,59.8,15.0,15.0,15.0,17.8,18.0,17.6,22.15,23.5,20.8,1.0,3.0,6.0,4.5,1.0,19.6,14.7,2.2,0,3,5,2,0,13.0,2,3,14.0,35.0,35.0,1.0,16.0,0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
